2026-07-26 20:14:20 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 472 records from Patient
2026-07-26 20:14:22 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 500 records from Patient
2026-07-26 20:14:23 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 500 records from Patient
2026-07-26 20:14:24 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 25 records from Patient
2026-07-26 20:14:24 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
2026-07-26 20:14:35 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 0 records from Patient
2026-07-26 20:14:35 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
2026-07-26 14:48:04 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 472 records from Patient
2026-07-26 14:48:05 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 500 records from Patient
2026-07-26 14:48:07 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 500 records from Patient
2026-07-26 14:48:08 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 27 records from Patient
2026-07-26 14:48:08 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
2026-07-26 20:25:37 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 0 records from Patient
2026-07-26 20:25:37 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
2026-07-26 20:25:51 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 0 records from Patient
2026-07-26 20:25:51 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
2026-07-26 14:56:30 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 472 records from Patient
2026-07-26 14:56:32 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 500 records from Patient
2026-07-26 14:56:34 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 500 records from Patient
2026-07-26 14:56:34 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 32 records from Patient
2026-07-26 14:56:34 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
2026-07-26 14:59:37 | INFO     | src.extractor.paginator | paginator:fetch_pages:29 | Received 0 records from Patient
2026-07-26 14:59:37 | INFO     | src.extractor.paginator | paginator:fetch_pages:39 | No more pages for Patient. 
